Entry	Gene ontology IDs
EDO48096	GO:0000151,  GO:0000209,  GO:0005737,  GO:0006511,  GO:0031624,  GO:0032436,  GO:0046872,  GO:0061630
EDO47441	GO:0005085,  GO:0005096,  GO:0007165,  GO:0016020
EDO37665	
EDO41050	GO:0000122,  GO:0000790,  GO:0003677,  GO:0003682,  GO:0005634,  GO:0008134,  GO:0016491,  GO:0034648,  GO:0045944,  GO:0050660
EDO35107	GO:0004222
EDO36075	
EDO45549	GO:0005739,  GO:0005743,  GO:0015187,  GO:0016021,  GO:1904983
EDO40789	GO:0000287,  GO:0005524,  GO:0005886,  GO:0016021,  GO:0045332,  GO:0140326
EDO30576	GO:0000381,  GO:0003723,  GO:0003729,  GO:0005634,  GO:0005737,  GO:0006376,  GO:1990904
EDO41224	
EDO30161	GO:0004067,  GO:0005737,  GO:0008798,  GO:0033345
EDO36246	GO:0003723,  GO:0003724,  GO:0005524,  GO:0005634,  GO:0042254
EDO32273	GO:0007154,  GO:0016021
EDO28439	GO:0007154,  GO:0016021
EDO42398	GO:0007154,  GO:0016021
EDO36379	GO:0006511,  GO:0016021,  GO:0061630
EDO44524	GO:0005737,  GO:0019781,  GO:0032446,  GO:0045116
EDO36972	GO:0016021,  GO:0022857
EDO32433	GO:0016021
EDO42150	
EDO45905	GO:0008168
EDO44853	GO:0017101
EDO37879	
EDO47284	GO:0003725,  GO:0004525,  GO:0005634,  GO:0006396,  GO:0030422,  GO:0031053,  GO:0031054
EDO34165	GO:0005201,  GO:0005581
KII65460	GO:0003676,  GO:0004190,  GO:0008270,  GO:0015074
EDO49749	GO:0031072,  GO:0046983,  GO:0051085,  GO:0061077,  GO:0065003
EDO30774	GO:0015918,  GO:0032367,  GO:0032934
EDO49760	GO:0016021,  GO:0055085
EDO45445	
EDO31322	GO:0003924,  GO:0005525,  GO:0005776,  GO:0006886,  GO:0012505,  GO:0032482
EDO36110	GO:0004674,  GO:0005524,  GO:0005737,  GO:0006468,  GO:0035556
EDO30834	GO:0000492,  GO:0003676,  GO:0005634
EDO34427	GO:0016706
EDO35299	GO:0005737,  GO:0019901
EDO30702	GO:0005654,  GO:0006357,  GO:0016514,  GO:0035060,  GO:0043044,  GO:0045893,  GO:0071565
EDO33821	
EDO44555	
EDO45447	
EDO35260	
EDO45474	
EDO36301	GO:0006511,  GO:0016579,  GO:0036459
EDO32272	GO:0007154,  GO:0016021
EDO32885	GO:0009409,  GO:0016021
EDO35511	GO:0005768,  GO:0005802,  GO:0005829,  GO:0016021,  GO:0042147,  GO:0045332
EDO38283	GO:0006887,  GO:0016709,  GO:0017137
EDO38282	
EDO47197	GO:0004842,  GO:0006511,  GO:0016887
EDO47748	GO:0004252,  GO:0005615,  GO:0016020,  GO:0016485,  GO:0016486,  GO:0043005
EDO47198	GO:0004842,  GO:0006511,  GO:0016887
EDO41901	GO:0003743,  GO:0005852,  GO:0006413,  GO:0031369
EDO43872	
EDO37728	GO:0004842,  GO:0005524,  GO:0006511,  GO:0016887
EDO49349	GO:0003729,  GO:0005844
EDO49306	GO:0000079,  GO:0000307,  GO:0005634,  GO:0005737,  GO:0006468,  GO:0016538,  GO:0019901,  GO:0044772
EDO46979	GO:0005245,  GO:0005891
EDO47054	GO:0005509
EDO49410	GO:0005509
EDO47919	GO:0005096,  GO:0046872,  GO:1902936
EDO40120	GO:0016021
EDO31095	
EDO49742	GO:0005245,  GO:0005891
EDO30443	GO:0005634,  GO:0005737,  GO:0006606,  GO:0008139,  GO:0008536,  GO:0061608
EDO35921	GO:0016592,  GO:0044798,  GO:0045944
EDO42436	GO:0005737,  GO:0005978,  GO:0008466
EDO46431	GO:0003676,  GO:0031047
EDO38839	GO:0008270
EDO31800	GO:0005524,  GO:0007018,  GO:0008569,  GO:0030286,  GO:0045505,  GO:0051959
EDO46117	
EDO46119	
EDO37443	GO:0004197
EDO45163	GO:0000447,  GO:0005730,  GO:0030686
EDO48432	GO:0005096,  GO:0005634,  GO:0005737,  GO:0032007,  GO:0033596
EDO33259	GO:0005096,  GO:0005634,  GO:0005737,  GO:0051056
EDO47037	GO:0003677,  GO:0003700,  GO:0005634,  GO:0005667,  GO:0005737,  GO:0007179
EDO37520	GO:0016021
EDO30843	GO:0005737,  GO:0016021
EDO43758	GO:0005623,  GO:0045454
EDO46120	GO:0005886,  GO:0007169,  GO:0019901,  GO:0030971,  GO:0035556
EDO42325	
EDO30826	
EDO49328	GO:0000209,  GO:0005737,  GO:0006511,  GO:0016567,  GO:0043161,  GO:0045732,  GO:0061630
EDO32451	
EDO42954	GO:0005737
EDO42542	GO:0005623,  GO:0005765,  GO:0005886,  GO:0016020,  GO:0016021,  GO:0072345
EDO47582	GO:0004560,  GO:0005764,  GO:0006004,  GO:0016139
EDO39903	GO:0005737,  GO:0019005,  GO:0031146
EDO40608	GO:0004739,  GO:0005967,  GO:0006086
EDO33319	GO:0006465,  GO:0006627,  GO:0008236,  GO:0033108,  GO:0042720
EDO42906	GO:0023052
EDO42053	GO:0005524,  GO:0016021
EDO41350	GO:0003700,  GO:0005634,  GO:0008270
EDO49280	GO:0000793,  GO:0000796,  GO:0007076
EDO42274	GO:0000287,  GO:0005524,  GO:0005794,  GO:0005886,  GO:0007030,  GO:0016021,  GO:0045332,  GO:0140326
EDO36449	
EDO30019	
EDO27565	
EDO40881	
EDO38782	GO:0004519
EDO38781	GO:0004519
EDO37478	GO:0008270
EDO43088	GO:0007009,  GO:0016021,  GO:0061025
EDO40616	
