Entry	Gene ontology IDs
EDO35739	GO:0005942,  GO:0035556,  GO:0046854,  GO:0046935
EDO44502	GO:0006511,  GO:0016579,  GO:0036459,  GO:0046872
EDO49193	GO:0001664,  GO:0003924,  GO:0005525,  GO:0005834,  GO:0007188,  GO:0031683
EDO48106	GO:0003723
EDO36028	GO:0000790,  GO:0005737,  GO:0006310,  GO:0006338,  GO:0006355,  GO:0006357,  GO:0008134,  GO:0008301,  GO:0045089,  GO:0045944
EDO45961	GO:0000287,  GO:0003677,  GO:0004523,  GO:0005634,  GO:0005654,  GO:0005730,  GO:0005739,  GO:0006260,  GO:0006284,  GO:0008409,  GO:0017108,  GO:0030145,  GO:0043137,  GO:0048256
EDO38562	
EDO49696	
EDO44401	GO:0005813,  GO:0005814,  GO:0007098,  GO:0034451,  GO:0034454,  GO:0035735,  GO:0036064,  GO:0060271,  GO:0071539
EDO33129	GO:0004674,  GO:0005524,  GO:0005737,  GO:0007346,  GO:0023014,  GO:0031098,  GO:0032147
EDO46981	GO:0016021,  GO:0022857
KII66203	GO:0016021,  GO:0055085
EDO47281	GO:0007034
EDO48329	GO:0000243,  GO:0006397,  GO:0008187,  GO:0008380,  GO:0016607,  GO:0030628,  GO:0071004,  GO:0089701
EDO40825	GO:0005783,  GO:0005794,  GO:0006612,  GO:0016021,  GO:0018230,  GO:0019706
EDO39500	GO:0005544,  GO:0005886,  GO:0071277
EDO42311	
EDO39581	GO:0001725,  GO:0005737,  GO:0005925,  GO:0007165,  GO:0046872
EDO37624	GO:0005764,  GO:0016021
EDO30031	GO:0004930,  GO:0004993,  GO:0005887,  GO:0007187,  GO:0007268,  GO:0030425,  GO:0030594,  GO:0045202
EDO41158	
EDO36941	GO:0016021
EDO36742	GO:0006753,  GO:0008768,  GO:0019693,  GO:0046872
EDO36317	GO:0005524,  GO:0016887
EDO36390	GO:0005739,  GO:0006264,  GO:0008297,  GO:0043504
EDO41387	
EDO37292	
EDO38575	GO:0005634,  GO:0016239,  GO:0016684,  GO:0070728,  GO:0071230,  GO:0071233,  GO:1901031,  GO:1904262,  GO:1990253
EDO37467	GO:0003700,  GO:0005634,  GO:0005667,  GO:0005737,  GO:0046983
EDO31847	GO:0005737
EDO42519	GO:0005737
EDO37152	GO:0006511
EDO29170	GO:0001682,  GO:0004526,  GO:0005655,  GO:0008033
EDO46902	GO:0005366,  GO:0005887,  GO:0046323
EDO42814	GO:0000221,  GO:0046961
EDO46262	GO:0016020,  GO:0016021,  GO:0072657
EDO40102	GO:0005768,  GO:0006886,  GO:0006904,  GO:0007032,  GO:0007033,  GO:0030674,  GO:0030897,  GO:0035542
EDO36894	GO:0004930,  GO:0005813,  GO:0016021
EDO36895	GO:0005813
EDO45607	GO:0005109,  GO:0005615,  GO:0016055,  GO:0030182,  GO:0045165
EDO38658	GO:0051015
EDO46669	GO:0003677,  GO:0005524,  GO:0005634,  GO:0008094,  GO:0044030
EDO41849	
EDO48346	GO:0005623,  GO:0005887,  GO:0006828,  GO:0015279,  GO:0034703,  GO:0051480,  GO:0070588,  GO:0070679
KII66802	GO:0003676,  GO:0015074
EDO28584	GO:0003676
KII68777	GO:0003676,  GO:0015074
KII62695	GO:0003676,  GO:0015074
EDO38122	GO:0004197,  GO:0005615,  GO:0005764,  GO:0050790,  GO:0051603
EDO39522	GO:0004114,  GO:0007165,  GO:0046872
KII69997	GO:0005634
EDO43863	GO:0031362,  GO:0032217,  GO:0038023,  GO:1902444
EDO38457	GO:0000138,  GO:0005484,  GO:0006888,  GO:0015031,  GO:0030173,  GO:0031201,  GO:0048280
EDO32492	GO:0003723
KII62573	
KII74307	
EDO49425	GO:0005794,  GO:0007030
EDO36008	GO:0005524,  GO:0005739,  GO:0006457,  GO:0007005,  GO:0009408,  GO:0031072,  GO:0042981,  GO:0046872,  GO:0051082
EDO41725	GO:0003676,  GO:0016021
EDO31424	GO:0003824
EDO39495	GO:0003723
EDO46422	GO:0072546
EDO38596	GO:0005783,  GO:0005794,  GO:0006612,  GO:0016021,  GO:0018230,  GO:0019706
EDO46496	GO:0004514,  GO:0004516,  GO:0005829,  GO:0009435,  GO:0034355
EDO43054	GO:0001731,  GO:0001732,  GO:0003743,  GO:0005092,  GO:0005829,  GO:0071074
EDO33556	
EDO46035	GO:0004674,  GO:0005524,  GO:0005634,  GO:0005737,  GO:0006468,  GO:0035556
EDO43907	
EDO31944	
EDO31945	GO:0005262,  GO:0005509,  GO:0016020,  GO:0016021,  GO:0050982
EDO47023	GO:0005262,  GO:0005509,  GO:0016020,  GO:0016021,  GO:0050982
EDO34730	GO:0000079,  GO:0000307,  GO:0005634,  GO:0005737,  GO:0005813,  GO:0006468,  GO:0016538,  GO:0019901,  GO:0044772
EDO42058	GO:0005634
EDO31918	
EDO44007	GO:0000027,  GO:0000463,  GO:0005730,  GO:0019843
EDO45971	
EDO47682	GO:0008270
EDO40229	GO:0005813
EDO46341	GO:0016021
EDO34320	GO:0005886,  GO:0007156,  GO:0007411,  GO:0016021,  GO:0030424,  GO:0070593,  GO:0098632
EDO45291	GO:0008201,  GO:0016021,  GO:0046914
EDO38749	GO:0003729,  GO:0003735,  GO:0005840,  GO:0006412,  GO:0017148,  GO:0022625
EDO32797	GO:0000077,  GO:0006281,  GO:0008408,  GO:0030896
EDO48786	GO:0016021,  GO:0022857
EDO36330	GO:0006897,  GO:0016192,  GO:0030125
EDO32317	
EDO45722	GO:0005634,  GO:0005737,  GO:0043248
EDO36434	GO:0016021,  GO:0033227,  GO:0051033
EDO49926	GO:0005815,  GO:0005874,  GO:0005881,  GO:0008017,  GO:0031110,  GO:0035371,  GO:0035372,  GO:0051010,  GO:0051225,  GO:0051233,  GO:1904825
EDO41578	GO:0006020,  GO:0006021,  GO:0007165,  GO:0008934,  GO:0046854,  GO:0046855,  GO:0046872,  GO:0052832,  GO:0052833
EDO38748	GO:0005886
EDO30322	
EDO48472	
EDO34944	GO:0003924,  GO:0005525,  GO:0005768,  GO:0005886,  GO:0006886,  GO:0006904,  GO:0008021,  GO:0009306,  GO:0012505,  GO:0017157,  GO:0031410,  GO:0031982,  GO:0032482,  GO:0072659
EDO33206	GO:0003723,  GO:0003730,  GO:0005634,  GO:0005737,  GO:0005829,  GO:0008143,  GO:0008266,  GO:0010494,  GO:1990904
EDO39001	
EDO41111	
EDO47362	GO:0005739,  GO:0008270,  GO:0016740,  GO:0034979,  GO:0036054,  GO:0036055,  GO:0070403
EDO33363	GO:0000149,  GO:0005484,  GO:0005789,  GO:0005794,  GO:0005829,  GO:0006623,  GO:0006888,  GO:0006891,  GO:0006896,  GO:0012507,  GO:0016021,  GO:0031201,  GO:0031902,  GO:0042147,  GO:0048280
KII75019	GO:0003924,  GO:0005525,  GO:0007264
EDO34880	GO:0005539,  GO:0006027,  GO:0008449,  GO:0008484,  GO:0016250,  GO:0030200
EDO40909	GO:0004930,  GO:0016021
EDO33225	GO:0001881,  GO:0005769,  GO:0005802,  GO:0005829,  GO:0007032,  GO:0042147,  GO:0055037
EDO46661	
EDO46668	GO:0003883,  GO:0005524,  GO:0005737,  GO:0006241,  GO:0006541,  GO:0019856,  GO:0042802,  GO:0044210,  GO:0097268
EDO43076	GO:0005634,  GO:0071171,  GO:1902979
EDO46482	GO:0003723,  GO:0003724,  GO:0005524
EDO42486	GO:0005777,  GO:0019166,  GO:0033306,  GO:0055114
EDO40022	
EDO48746	
EDO36404	GO:0000077,  GO:0000723,  GO:0004674,  GO:0005524,  GO:0005634,  GO:0006281,  GO:0006974,  GO:0008630,  GO:0010212,  GO:0016572,  GO:1904262
EDO45489	GO:0003677
KII67727	GO:0000049,  GO:0004826,  GO:0005524,  GO:0005737,  GO:0006432
KII67726	GO:0000049,  GO:0004826,  GO:0005524,  GO:0005737,  GO:0006432
EDO41876	
EDO47347	
EDO41411	GO:0005813
EDO34401	GO:0005887,  GO:0030171
EDO39159	GO:0000291,  GO:0000932,  GO:0003697,  GO:0003727,  GO:0003899,  GO:0005665,  GO:0006367,  GO:0031369,  GO:0045948,  GO:0060213
EDO46709	GO:0008028,  GO:0016021
EDO39975	GO:0008028,  GO:0016021
EDO46662	GO:0031083
EDO42349	GO:0003735,  GO:0005763
EDO34590	GO:0005623,  GO:0043277,  GO:0045454
EDO44390	GO:0016021
EDO46799	
EDO41904	GO:0005509
EDO38789	GO:0005509,  GO:0016504,  GO:0030198
EDO38922	GO:0016021
EDO42831	GO:0009306
EDO45783	
EDO39639	GO:0004175,  GO:0005783,  GO:0005887,  GO:0016485,  GO:0043085,  GO:0070765
EDO40646	GO:0005524,  GO:0005634,  GO:0005694,  GO:0051276
EDO49506	GO:0004197,  GO:0004843,  GO:0006511,  GO:0016579
EDO49599	GO:0005623,  GO:0009055,  GO:0015035,  GO:0045454
EDO36459	
EDO32515	GO:0005743,  GO:0030150,  GO:0051087
EDO39559	GO:0005509,  GO:0007155,  GO:0062023
EDO31589	GO:0004620,  GO:0005737
EDO44850	GO:0000028,  GO:0003676,  GO:0006364,  GO:0032545,  GO:0034456
EDO40559	GO:0016747,  GO:0032385
EDO48036	GO:0005096,  GO:0005623,  GO:0005737,  GO:0005886,  GO:0008593,  GO:0017137,  GO:0019905,  GO:0030864,  GO:0030866,  GO:0032878,  GO:0045159,  GO:0050708,  GO:0051294
EDO35385	GO:0005524,  GO:0016874,  GO:0046872
EDO50052	
EDO46061	GO:0000124,  GO:0005669,  GO:0006352,  GO:0006366,  GO:0008134,  GO:0044212,  GO:0045944,  GO:0046982
EDO46113	GO:0003712,  GO:0006357,  GO:0016592,  GO:0070847
KII72369	GO:0006355
EDO45887	GO:0000226,  GO:0005623,  GO:0005737,  GO:0005912,  GO:0005938,  GO:0007155,  GO:0008104,  GO:0016324,  GO:0030010,  GO:0035091,  GO:0043296,  GO:0045197,  GO:0051660
EDO41800	GO:0035869,  GO:0036064,  GO:0090090,  GO:0097546,  GO:0097730,  GO:1904491
EDO30733	GO:0000159,  GO:0005634,  GO:0005829,  GO:0006470,  GO:0007165,  GO:0031952,  GO:0072542
EDO31905	GO:0005337,  GO:0005415,  GO:0005887,  GO:1901642
EDO40043	
KII74895	
EDO46652	GO:0003723,  GO:0005783,  GO:0006614,  GO:0006620,  GO:0008320,  GO:0016021,  GO:0031204,  GO:0031207
EDO29933	GO:0000226,  GO:0015630
EDO47143	GO:0004222,  GO:0004623,  GO:0005509,  GO:0005544,  GO:0005737,  GO:0046475,  GO:0047498,  GO:0102567,  GO:0102568
EDO39608	GO:0005085
EDO37189	GO:0000381,  GO:0005634
EDO40507	GO:0003677,  GO:0005524,  GO:0005634,  GO:0006261,  GO:0006282,  GO:0008047,  GO:0017116
EDO41775	GO:0005388,  GO:0005524,  GO:0005623,  GO:0006874,  GO:0016021,  GO:0019829,  GO:0043231,  GO:0051480
EDO28766	GO:0005049,  GO:0005643,  GO:0005737,  GO:0006611
EDO35934	
EDO39856	GO:0005524,  GO:0005739,  GO:0006400,  GO:0052381
EDO36668	
EDO40384	
EDO46845	GO:0005096,  GO:0051056,  GO:0090630
EDO40986	GO:0005847,  GO:0006378
EDO42235	GO:0007165
EDO41325	
EDO46405	GO:0000724,  GO:0003676,  GO:0005524,  GO:0005634,  GO:0005694,  GO:0005737,  GO:0006268,  GO:0006281,  GO:0006310,  GO:0009378,  GO:0032508,  GO:0043138
EDO48785	GO:0004672,  GO:0004694,  GO:0005524
EDO40042	GO:0003676
EDO44466	
EDO39315	
EDO41401	
KII72056	
EDO45427	GO:0005509
EDO45344	GO:0005524,  GO:0005783,  GO:0006457,  GO:0030433,  GO:0048471,  GO:0051082
EDO43926	GO:0004672,  GO:0004725,  GO:0005524,  GO:0005737,  GO:0006898,  GO:0030276,  GO:0031982,  GO:0043231,  GO:0072318,  GO:0072583
EDO34789	GO:0003841,  GO:0005783,  GO:0006654,  GO:0008234,  GO:0016021
EDO37699	GO:0004721,  GO:0005739,  GO:0046872
EDO44433	GO:0005634,  GO:0008017
EDO37192	GO:0005912,  GO:0030950,  GO:0042249,  GO:0051015,  GO:0090251
EDO42024	GO:0005524,  GO:0007018,  GO:0008569,  GO:0030286,  GO:0036157,  GO:0036158,  GO:0045505,  GO:0051959
EDO35603	GO:0005524,  GO:0007018,  GO:0008569,  GO:0030286,  GO:0036157,  GO:0036158,  GO:0045505,  GO:0051959
KII68865	
EDO38605	
EDO41468	
EDO41985	GO:0006886,  GO:0016192,  GO:0030121
KII67819	
EDO31785	GO:0003980,  GO:0005783,  GO:0018279,  GO:0051082,  GO:0071712
EDO35229	GO:0016021,  GO:0055085
EDO43785	GO:0003700,  GO:0005634,  GO:0005667,  GO:0005737,  GO:0045944,  GO:0046983
EDO41869	GO:0004497,  GO:0004499,  GO:0005789,  GO:0016021,  GO:0050660,  GO:0050661
EDO32058	GO:0003712,  GO:0006357,  GO:0016592,  GO:0070847
EDO37873	GO:0005509,  GO:0005623,  GO:0007016,  GO:0016010,  GO:0016021
EDO28760	
EDO49161	
EDO49547	GO:0004687,  GO:0005524
EDO30752	GO:0000776,  GO:0004674,  GO:0004712,  GO:0005524,  GO:0005634,  GO:0005819,  GO:0007059,  GO:0007094,  GO:0018105,  GO:0033316,  GO:0034501,  GO:0051304
EDO45562	GO:0005747,  GO:0008137,  GO:0022900
EDO45845	GO:0000175,  GO:0000288,  GO:0005739
EDO39472	GO:0005509,  GO:0016021
EDO30976	GO:0004725,  GO:0007154,  GO:0016021
EDO30053	
EDO46793	GO:0005432,  GO:0007154,  GO:0016021
EDO46311	GO:0005509
EDO41792	GO:0005764,  GO:0010506,  GO:0016021
EDO40194	GO:0000398,  GO:0005684,  GO:0005686,  GO:0005689,  GO:0071011,  GO:0071013
EDO45290	GO:0036396,  GO:0046872,  GO:0080009
KII74635	
EDO27575	
EDO49217	GO:0000398,  GO:0003676,  GO:0005634
EDO42807	GO:0003729,  GO:0003730,  GO:0005737,  GO:0010608
KII67775	
KII62494	
EDO45693	GO:0004707,  GO:0005524,  GO:0005634,  GO:0005737,  GO:0010468,  GO:0035556,  GO:0071310
EDO37016	
EDO30404	GO:0004459,  GO:0010181,  GO:0019516
EDO49944	GO:0004459,  GO:0010181,  GO:0019516
EDO36091	GO:0005085,  GO:0005768,  GO:0005776,  GO:0006897,  GO:0006914
EDO36997	GO:0005657,  GO:0006260,  GO:0032508
KII68202	GO:0003676,  GO:0015074
EDO29832	
EDO48100	
EDO40315	GO:0008898,  GO:0009086,  GO:0033528
EDO39747	GO:0016021
EDO32163	GO:0006955,  GO:0007249
EDO42742	GO:0003684,  GO:0005634,  GO:0006289,  GO:0031461,  GO:0043161
EDO42819	GO:0004045
EDO38720	GO:0005813
EDO35689	GO:0004298,  GO:0005737,  GO:0051604
EDO35205	GO:0000149,  GO:0000323,  GO:0005768,  GO:0035493
EDO46580	GO:0005783,  GO:0006486,  GO:0030176,  GO:0052925
EDO34047	GO:0005096,  GO:0006886,  GO:0017137,  GO:0090630
EDO48760	GO:0003677,  GO:0005634,  GO:0006367,  GO:0032968
EDO47126	GO:0016021,  GO:0034587,  GO:0071546
EDO37640	
EDO36649	GO:0004930,  GO:0016021
EDO38539	
EDO28672	GO:0016021
EDO31793	GO:0005452,  GO:0005623,  GO:0015701,  GO:0016021,  GO:0051453
EDO29237	GO:0003826,  GO:0005739,  GO:0005947,  GO:0007584,  GO:0009083
EDO48442	
EDO49113	GO:0004842,  GO:0016021
EDO40786	
KII62323	
EDO37826	GO:0003676
EDO49588	GO:0003723,  GO:1990904
EDO44667	GO:0005783,  GO:0070628,  GO:0080129
EDO36600	GO:0005813,  GO:0005814,  GO:0007099,  GO:0010457,  GO:0032053,  GO:0036064
EDO41584	GO:0000083,  GO:0000790,  GO:0030907,  GO:0033309,  GO:0071931
EDO47448	
EDO45789	GO:0008285
EDO34419	GO:0042721,  GO:0045039
EDO37576	GO:0005509
EDO31601	GO:0005198,  GO:0006511,  GO:0008541,  GO:0043248
EDO30529	
EDO44256	GO:0004459,  GO:0010181,  GO:0019516
EDO30927	
KII61943	GO:0003676,  GO:0008270
KII65574	GO:0003676,  GO:0008270,  GO:0015074
EDO32466	GO:0003677,  GO:0003712,  GO:0003713,  GO:0005634,  GO:0006357,  GO:0016513
EDO45402	GO:0009058,  GO:0016779
KII62454	GO:0005524,  GO:0016301
EDO47211	
EDO49671	
EDO38485	
EDO44305	GO:0005634,  GO:0005737,  GO:0008420,  GO:0043175,  GO:0070940
EDO38336	GO:0000775,  GO:0000785,  GO:0005634,  GO:0007059,  GO:0034080,  GO:0046872
EDO44918	GO:0032007,  GO:0034198,  GO:0038202,  GO:1990130,  GO:2000785
EDO39195	GO:0005794,  GO:0006024,  GO:0006486,  GO:0008375,  GO:0015012,  GO:0016021,  GO:0016757,  GO:0050509
EDO47174	
EDO35999	GO:0004300,  GO:0005829,  GO:0006635
EDO39165	GO:0005509,  GO:0005886,  GO:0007219,  GO:0009986,  GO:0016021,  GO:0043235
EDO47222	GO:0005509
EDO41220	GO:0000014,  GO:0000737,  GO:0003676,  GO:0004518,  GO:0004519,  GO:0004521,  GO:0005634,  GO:0005739,  GO:0005743,  GO:0006309,  GO:0046872
EDO40576	GO:0045184
EDO38229	GO:0004435,  GO:0005509,  GO:0005623,  GO:0016042,  GO:0032959,  GO:0048015,  GO:0051209
EDO39481	GO:0000340,  GO:0003743,  GO:0016281
EDO45788	GO:0005794,  GO:0006487,  GO:0030144
EDO31557	GO:0008270
EDO38898	GO:0052689,  GO:0090090,  GO:1990697,  GO:1990699
EDO34128	GO:0000159,  GO:0005829,  GO:0019888,  GO:0070262
EDO42851	GO:0000460,  GO:0000470,  GO:0004519,  GO:0030687,  GO:0090730
EDO37148	
EDO49374	
EDO49457	GO:0000149,  GO:0001786,  GO:0005509,  GO:0005544,  GO:0005886,  GO:0006906,  GO:0014059,  GO:0016192,  GO:0017156,  GO:0017158,  GO:0030276,  GO:0030424,  GO:0043005,  GO:0045202,  GO:0070382,  GO:0071277
EDO45046	GO:0016491
EDO40981	GO:0004161,  GO:0004337,  GO:0005737,  GO:0016021,  GO:0045337
EDO35860	GO:0004089,  GO:0008270
EDO41077	GO:0000815,  GO:0005771,  GO:0015031,  GO:0032509,  GO:0045324
EDO44034	GO:0003676,  GO:0008296
EDO48745	
EDO49935	
EDO41604	GO:0005739,  GO:0006412,  GO:0043023
EDO35905	GO:0005744,  GO:0016021,  GO:0030150
EDO40557	GO:0003924,  GO:0005525,  GO:0006886,  GO:0012505,  GO:0032482
EDO32995	GO:0003729
EDO34693	GO:0000139,  GO:0005783,  GO:0005794,  GO:0006486,  GO:0006493,  GO:0008375,  GO:0008376,  GO:0008378,  GO:0016021,  GO:0016758
EDO35913	
EDO33394	GO:0005783,  GO:0005789,  GO:0016021
EDO32505	GO:0005684,  GO:0034247,  GO:0046872
EDO42739	
EDO36994	GO:0003712,  GO:0006357,  GO:0016592,  GO:0070847
EDO39934	GO:0000287,  GO:0004775,  GO:0005524,  GO:0005739,  GO:0006099,  GO:0006104,  GO:0042709
KII64271	GO:0005524,  GO:0006099,  GO:0016874
EDO36012	GO:0000287,  GO:0005524,  GO:0005794,  GO:0005802,  GO:0005886,  GO:0016021,  GO:0045332,  GO:0140326
EDO29667	
EDO45106	GO:0003723,  GO:0005829,  GO:0032574,  GO:0035194,  GO:0043186
EDO32519	
EDO44086	GO:0032039,  GO:0034472
EDO49098	GO:0000724,  GO:0000784,  GO:0003677,  GO:0007093,  GO:0010212,  GO:0070876
EDO39973	GO:0000981,  GO:0005634,  GO:0006357,  GO:0030154,  GO:0043565
KII65877	GO:0003677,  GO:0004518,  GO:0005634,  GO:0006281
EDO45269	GO:0000724,  GO:0003697,  GO:0005634,  GO:0006289,  GO:0008821,  GO:0017108,  GO:0048256
EDO35173	
EDO34960	GO:0016021
KII66243	
EDO33469	
EDO38248	GO:0004888,  GO:0005230,  GO:0005887,  GO:0007165,  GO:0007268,  GO:0034220,  GO:0042391,  GO:0043005,  GO:0045202,  GO:0050877
EDO47244	GO:0016021,  GO:0032007,  GO:0033596,  GO:0046627,  GO:0051726
EDO26156	
EDO48706	GO:0000460,  GO:0000470,  GO:0030687
EDO35108	GO:0003979,  GO:0005634,  GO:0005829,  GO:0006024,  GO:0051287
EDO37101	GO:0000977,  GO:0003700,  GO:0005634,  GO:0031519,  GO:0035102,  GO:0036353,  GO:0060819
EDO40148	GO:0005634,  GO:0034414,  GO:0042781
EDO40024	GO:0005739,  GO:0072684
EDO48585	
EDO41776	GO:0005739,  GO:0051881
EDO48081	
EDO36916	
EDO46903	GO:0004930,  GO:0005887,  GO:0007186
EDO46762	GO:0016021
EDO31688	
EDO36360	GO:0005509
EDO42263	GO:0003865,  GO:0005783,  GO:0006488,  GO:0016021,  GO:0016095,  GO:0019408
EDO41372	GO:0019904
EDO41154	
EDO48168	GO:0005623,  GO:0005813,  GO:0005814,  GO:0005819,  GO:0046599,  GO:0051310,  GO:0090307
EDO41969	GO:0003723,  GO:0003724,  GO:0005524,  GO:0005634,  GO:0006364
EDO45197	GO:0000495,  GO:0003723,  GO:0009982,  GO:0016021,  GO:0031118,  GO:0031120,  GO:0031429,  GO:1990481
EDO36959	GO:0003677,  GO:0005634
EDO43507	GO:0016301,  GO:0019202
EDO42625	GO:0005887,  GO:0030148,  GO:0030173,  GO:0030176,  GO:0033188,  GO:0046513,  GO:0047493
EDO47105	GO:0016021
EDO46097	GO:0016021,  GO:0070765
EDO33307	GO:0000050,  GO:0000053,  GO:0004055,  GO:0005524,  GO:0005737,  GO:0006526
EDO27509	
EDO39914	
EDO34662	GO:0007249
EDO43257	GO:0005779,  GO:0030674,  GO:0045046
EDO45298	
EDO40437	GO:0032088,  GO:0051059
EDO45635	GO:0005778,  GO:0005779,  GO:0016559,  GO:0044375
EDO35677	GO:0003723,  GO:0005049,  GO:0005634,  GO:0005737,  GO:0006405,  GO:0042565,  GO:0046825
EDO44698	GO:0003735,  GO:0005840,  GO:0006412
EDO31423	GO:0015031,  GO:0035091
EDO32810	GO:0008270,  GO:0016491
EDO37081	GO:0004032,  GO:0005829,  GO:0008106,  GO:0016491
EDO47870	
EDO40455	GO:0007154,  GO:0016021
EDO40454	GO:0007154,  GO:0016021
EDO41886	GO:0004842,  GO:0005634,  GO:0006511,  GO:0007093,  GO:0016567
EDO40604	
EDO33289	
EDO42835	GO:0005783,  GO:0006888,  GO:0006890,  GO:0030134,  GO:0030173,  GO:0030176
EDO36518	GO:0004674,  GO:0005524
EDO48582	GO:0016567,  GO:0019005,  GO:0031146
EDO47942	GO:0008119
EDO42157	GO:0003723,  GO:0004540,  GO:0005655,  GO:0008033,  GO:0090502
EDO35660	GO:0006511,  GO:0006974,  GO:0019005,  GO:0031146,  GO:0031461,  GO:0031625,  GO:0043161,  GO:0080008
EDO33345	GO:0000139,  GO:0005783,  GO:0005794,  GO:0006486,  GO:0006493,  GO:0008375,  GO:0008376,  GO:0008378,  GO:0016021,  GO:0016758
EDO37044	GO:0005747,  GO:0008137
EDO47286	GO:0003723,  GO:0043484
EDO36442	GO:0004674,  GO:0005524
EDO31476	
EDO42018	GO:0003676
EDO46543	
EDO48369	
EDO37271	GO:0006511,  GO:0016567,  GO:0019005,  GO:0031146
EDO35485	
EDO30355	
EDO33321	
EDO40449	GO:0004722,  GO:0004724,  GO:0046872
EDO45340	GO:0005524
EDO30140	GO:0005249,  GO:0005887,  GO:0034765,  GO:0042391,  GO:0071805
EDO34392	GO:0061631
EDO33080	GO:0006408
EDO38286	
EDO34749	GO:0000421,  GO:0005765,  GO:0016021,  GO:0032266
EDO46838	GO:0003677,  GO:0005634
EDO40537	GO:0005635,  GO:0005829,  GO:0006606,  GO:0016021
EDO31984	GO:0005249,  GO:0005251,  GO:0008076,  GO:0015276,  GO:0016021,  GO:0071805
EDO35234	GO:0000266,  GO:0000422,  GO:0005739,  GO:0005741,  GO:0005777,  GO:0005779,  GO:0006915,  GO:0016559,  GO:0031307,  GO:0043653
EDO42417	GO:0000398,  GO:0003723,  GO:0005634,  GO:0005686,  GO:1990904
EDO49209	
EDO34790	GO:0000445,  GO:0006406
EDO43232	GO:0005680,  GO:0005737,  GO:0007091,  GO:0016567,  GO:0031145,  GO:0045842,  GO:0051301,  GO:0061630
EDO49103	GO:0005783,  GO:0008270,  GO:0012505,  GO:0016021,  GO:0061630
EDO48691	GO:0005070,  GO:0007165,  GO:0017124
EDO44844	GO:0031023,  GO:0051225
EDO49731	GO:0003735,  GO:0005840,  GO:0006412,  GO:0022627
EDO48805	GO:0008270,  GO:0016021
EDO48041	
EDO40167	GO:0000045,  GO:0003924,  GO:0005525,  GO:0006886,  GO:0012505,  GO:0032482
EDO44669	GO:0005524,  GO:0007018,  GO:0008569,  GO:0016021,  GO:0030286,  GO:0036157,  GO:0036158,  GO:0045505,  GO:0051959
EDO42283	GO:0007275,  GO:0030154
EDO49140	
EDO46570	GO:0003676
EDO45321	GO:0004181,  GO:0005615,  GO:0006508,  GO:0008270
EDO46222	
KII67144	GO:0003676,  GO:0005524,  GO:0006260,  GO:0006281,  GO:0006310,  GO:0043138
EDO29815	GO:0009056,  GO:0016787
EDO39223	GO:0003723,  GO:0005634,  GO:0051252,  GO:1990904
EDO46406	GO:0016020,  GO:0016263,  GO:0016267
EDO34479	GO:0004714,  GO:0005524,  GO:0005887,  GO:0007169,  GO:0007275,  GO:0007399,  GO:0010976,  GO:0014068,  GO:0033674,  GO:0043235,  GO:0043408,  GO:0043410
EDO36967	GO:0005262,  GO:0005509,  GO:0016020,  GO:0016021,  GO:0050982
EDO30519	GO:0016021
EDO43264	GO:0000122,  GO:0000977,  GO:0001227,  GO:0005634,  GO:0009952,  GO:0030154,  GO:0046983,  GO:0050767
EDO49107	GO:0002181,  GO:0003723,  GO:0003735,  GO:0022625,  GO:0042273
EDO41679	
EDO48930	
EDO49725	GO:0001919,  GO:0005764,  GO:0007040,  GO:0016197,  GO:0032008,  GO:0034613,  GO:0042632,  GO:0043410,  GO:0071230,  GO:0071986
EDO36272	GO:0005516,  GO:0005737,  GO:0005955,  GO:0033192,  GO:0097720
EDO41491	GO:0003677,  GO:0003700,  GO:0005634
EDO45112	GO:0003723,  GO:0006417,  GO:0008270
EDO44528	GO:0003924,  GO:0005525,  GO:0005886,  GO:0006886,  GO:0010008,  GO:0012505,  GO:0032456,  GO:0032482
KII72018	GO:0000139,  GO:0042802,  GO:0048208
EDO40488	
EDO48124	GO:0016021
EDO39750	GO:0003677,  GO:0005634,  GO:0006355,  GO:0007275
EDO37060	
EDO45168	GO:0003723
EDO48138	GO:0016021
EDO45142	GO:0000122,  GO:0000812,  GO:0003677,  GO:0003714,  GO:0006281,  GO:0035267,  GO:0043486,  GO:0043967,  GO:0043968
EDO31305	GO:0000381,  GO:0003723,  GO:0005634,  GO:0008270,  GO:0016607,  GO:0045292
EDO43066	GO:0005634,  GO:0006974,  GO:0031593
EDO46586	
EDO41167	GO:0004222,  GO:0005615,  GO:0008270,  GO:0016021,  GO:0030198,  GO:0030574,  GO:0031012
EDO48502	GO:0004222,  GO:0005615,  GO:0008270,  GO:0016021,  GO:0030198,  GO:0030574,  GO:0031012
EDO34240	GO:0000815,  GO:0005771,  GO:0015031,  GO:0032509,  GO:0045324
EDO34119	GO:0005813,  GO:0005814,  GO:0005829,  GO:0046599
EDO32777	
EDO45670	GO:0005774,  GO:0016021,  GO:0033179,  GO:0046961
EDO36988	GO:0003676,  GO:0005739,  GO:0006392
EDO42248	GO:0003735,  GO:0005762,  GO:0006412,  GO:0015934,  GO:0042254
EDO49613	GO:0003333,  GO:0005774,  GO:0015171,  GO:0016021
EDO48762	GO:0000030,  GO:0005783,  GO:0005788,  GO:0005789,  GO:0006487,  GO:0006488,  GO:0016021,  GO:0052824
